"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HAI-1 Achievement Threshold","HAI-1 Benchmark","HAI-1 Baseline Rate","HAI-1 Performance Rate","HAI-1 Achievement Points","HAI-1 Improvement Points","HAI-1 Measure Score","HAI-2 Achievement Threshold","HAI-2 Benchmark","HAI-2 Baseline Rate","HAI-2 Performance Rate","HAI-2 Achievement Points","HAI-2 Improvement Points","HAI-2 Measure Score","Combined SSI Measure Score","HAI-3 Achievement Threshold","HAI-3 Benchmark","HAI-3 Baseline Rate","HAI-3 Performance Rate","HAI-3 Achievement Points","HAI-3 Improvement Points","HAI-3 Measure Score","HAI-4 Achievement Threshold","HAI-4 Benchmark","HAI-4 Baseline Rate","HAI-4 Performance Rate","HAI-4 Achievement Points","HAI-4 Improvement Points","HAI-4 Measure Score","HAI-5 Achievement Threshold","HAI-5 Benchmark","HAI-5 Baseline Rate","HAI-5 Performance Rate","HAI-5 Achievement Points","HAI-5 Improvement Points","HAI-5 Measure Score","HAI-6 Achievement Threshold","HAI-6 Benchmark","HAI-6 Baseline Rate","HAI-6 Performance Rate","HAI-6 Achievement Points","HAI-6 Improvement Points","HAI-6 Measure Score"
"2021","010024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",Montgomery,"0.687","0.000","1.872","1.098","0 out of 10","4 out of 9","4 out of 10","0.774","0.000","1.432","1.103","0 out of 10","2 out of 9","2 out of 10","7 out of 10","0.754","0.000","0.257","0.201","7 out of 10","2 out of 9","7 out of 10","0.726","0.000","2.494",Not Available,Not Available,Not Available,Not Available,"0.763","0.000","0.832","1.474","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","1.397","0.765","0 out of 10","4 out of 9","4 out of 10"
"2021","010029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",Lee,"0.687","0.000","1.331","0.000","10 out of 10","9 out of 9","10 out of 10","0.774","0.000","1.349","0.167","8 out of 10","8 out of 9","8 out of 10","2 out of 10","0.754","0.000","0.244","1.266","0 out of 10","0 out of 9","0 out of 10","0.726","0.000","0.364","0.325","5 out of 10","1 out of 9","5 out of 10","0.763","0.000","1.043","0.393","5 out of 10","6 out of 9","6 out of 10","0.748","0.067","0.660","0.530","3 out of 10","2 out of 9","3 out of 10"
"2021","010033",UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET",BIRMINGHAM,AL,"35233",Jefferson,"0.687","0.000","0.469","0.606","2 out of 10","0 out of 9","2 out of 10","0.774","0.000","0.325","0.460","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0.754","0.000","0.659","0.559","3 out of 10","1 out of 9","3 out of 10","0.726","0.000","0.519","0.847","0 out of 10","0 out of 9","0 out of 10","0.763","0.000","0.882","1.095","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.577","0.456","4 out of 10","2 out of 9","4 out of 10"
"2021","010034",COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD",TALLASSEE,AL,"36078",Elmore,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.517","0.000","10 out of 10","9 out of 9","10 out of 10"
"2021","010035",CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157",CULLMAN,AL,"35058",Cullman,"0.687","0.000","0.434","0.000","10 out of 10","9 out of 9","10 out of 10","0.774","0.000","0.712","0.558","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0.754","0.000","0.859","0.820","0 out of 10","0 out of 9","0 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","0.000","0.726","1 out of 10","0 out of 9","1 out of 10","0.748","0.067","0.634","0.070","9 out of 10","9 out of 9","9 out of 10"
"2021","010036",ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET",ANDALUSIA,AL,"36420",Covington,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.673","0.000","10 out of 10","9 out of 9","10 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.531","0.410","5 out of 10","2 out of 9","5 out of 10"
"2021","010038",STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST",ANNISTON,AL,"36201",Calhoun,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.000","0.918","0 out of 10","0 out of 9","0 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"2021","010039",HUNTSVILLE HOSPITAL,"101 SIVLEY RD",HUNTSVILLE,AL,"35801",Madison,"0.687","0.000","0.732","0.828","0 out of 10","0 out of 9","0 out of 10","0.774","0.000","0.824","0.520","3 out of 10","3 out of 9","3 out of 10","5 out of 10","0.754","0.000","1.350","0.689","1 out of 10","4 out of 9","4 out of 10","0.726","0.000","0.475","0.144","8 out of 10","6 out of 9","8 out of 10","0.763","0.000","1.079","1.307","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.479","0.486","4 out of 10","0 out of 9","4 out of 10"
"2021","010040",GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE",GADSDEN,AL,"35903",Etowah,"0.687","0.000","2.598","0.939","0 out of 10","6 out of 9","6 out of 10","0.774","0.000","0.818","0.156","8 out of 10","8 out of 9","8 out of 10","10 out of 10","0.754","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","4.117","0.948","0 out of 10","7 out of 9","7 out of 10","0.748","0.067","1.089","0.102","9 out of 10","9 out of 9","9 out of 10"
"2021","010045",FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH",FAYETTE,AL,"35555",Fayette,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","1.621",Not Available,Not Available,Not Available,Not Available
"2021","010046",RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET",GADSDEN,AL,"35901",Etowah,"0.687","0.000","0.413","0.401","4 out of 10","0 out of 9","4 out of 10","0.774","0.000","0.272","0.000","10 out of 10","9 out of 9","10 out of 10","0 out of 10","0.754","0.000",Not Available,"0.829","0 out of 10",Not Available,"0 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","0.793",Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.531","0.321","6 out of 10","4 out of 9","6 out of 10"
"2021","010049",MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET",ENTERPRISE,AL,"36330",Coffee,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.960","0.000","10 out of 10","9 out of 9","10 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.000","0.843","0 out of 10","0 out of 9","0 out of 10"
"2021","010052",LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD",DADEVILLE,AL,"36853",Tallapoosa,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010055",FLOWERS HOSPITAL,"4370 WEST MAIN STREET",DOTHAN,AL,"36305",Houston,"0.687","0.000","0.465","0.228","7 out of 10","5 out of 9","7 out of 10","0.774","0.000","0.720","0.826","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0.754","0.000","0.311","0.435","4 out of 10","0 out of 9","4 out of 10","0.726","0.000","1.299","0.000","10 out of 10","9 out of 9","10 out of 10","0.763","0.000","0.781","0.375","5 out of 10","5 out of 9","5 out of 10","0.748","0.067","0.851","0.373","5 out of 10","6 out of 9","6 out of 10"
"2021","010056",ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE",BIRMINGHAM,AL,"35205",Jefferson,"0.687","0.000","0.923","0.776","0 out of 10","1 out of 9","1 out of 10","0.774","0.000","1.074","0.518","3 out of 10","5 out of 9","5 out of 10","5 out of 10","0.754","0.000","0.664","0.308","6 out of 10","5 out of 9","6 out of 10","0.726","0.000","0.265","0.588","2 out of 10","0 out of 9","2 out of 10","0.763","0.000","0.471","0.518","3 out of 10","0 out of 9","3 out of 10","0.748","0.067","0.572","0.396","5 out of 10","3 out of 9","5 out of 10"
"2021","010061",HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD",SCOTTSBORO,AL,"35768",Jackson,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.737","0.222","7 out of 10","7 out of 9","7 out of 10"
"2021","010062",WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE",GENEVA,AL,"36340",Geneva,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"2021","010065",RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280",ALEXANDER CITY,AL,"35010",Tallapoosa,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.919","0.000","10 out of 10","9 out of 9","10 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","1.295","0.000","10 out of 10","9 out of 9","10 out of 10"
"2021","010069",MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST",EUFAULA,AL,"36027",Barbour,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","1.993","0.732","1 out of 10","6 out of 9","6 out of 10"
"2021","010073",CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9    P O BOX 1270",ASHLAND,AL,"36251",Clay,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067",Not Available,Not Available,Not Available,Not Available,Not Available
"2021","010078",NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET",ANNISTON,AL,"36207",Calhoun,"0.687","0.000","2.343","1.647","0 out of 10","2 out of 9","2 out of 10","0.774","0.000","0.179","1.293","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.754","0.000","0.000","0.890","0 out of 10","0 out of 9","0 out of 10","0.726","0.000",Not Available,"0.000","10 out of 10",Not Available,"10 out of 10","0.763","0.000","2.515","1.585","0 out of 10","3 out of 9","3 out of 10","0.748","0.067","0.293","0.756","0 out of 10","0 out of 9","0 out of 10"
"2021","010079",ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET",ATHENS,AL,"35611",Limestone,"0.687","0.000","0.000",Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.546","1.670","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.754","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.521","0.773","0 out of 10","0 out of 9","0 out of 10"
"2021","010083",SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET",FOLEY,AL,"36535",Baldwin,"0.687","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.774","0.000","0.360","0.304","6 out of 10","1 out of 9","6 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,"1.737","0 out of 10",Not Available,"0 out of 10","0.748","0.067","0.383","0.338","6 out of 10","1 out of 9","6 out of 10"
"2021","010085",DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,"1201 7TH STREET SE",DECATUR,AL,"35601",Morgan,"0.687","0.000","1.149","1.850","0 out of 10","0 out of 9","0 out of 10","0.774","0.000","0.595","0.574","3 out of 10","0 out of 9","3 out of 10","6 out of 10","0.754","0.000","0.000","0.256","6 out of 10","0 out of 9","6 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","1.891","1.078","0 out of 10","4 out of 9","4 out of 10","0.748","0.067","0.432","0.786","0 out of 10","0 out of 9","0 out of 10"
"2021","010086",NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43",WINFIELD,AL,"35594",Fayette,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.000","1.048","0 out of 10","0 out of 9","0 out of 10"
"2021","010087",UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,"2451 FILLINGIM STREET",MOBILE,AL,"36617",Mobile,"0.687","0.000","0.117","0.724","0 out of 10","0 out of 9","0 out of 10","0.774","0.000","1.234","0.323","6 out of 10","7 out of 9","7 out of 10","8 out of 10","0.754","0.000","1.789","0.254","6 out of 10","8 out of 9","8 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","1.585","0.447","4 out of 10","7 out of 9","7 out of 10","0.748","0.067","1.726","0.525","3 out of 10","7 out of 9","7 out of 10"
"2021","010089",WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST",JASPER,AL,"35502",Walker,"0.687","0.000","0.000","0.755","0 out of 10","0 out of 9","0 out of 10","0.774","0.000","0.294","0.287","6 out of 10","0 out of 9","6 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,"0.935","0 out of 10",Not Available,"0 out of 10","0.748","0.067","0.799","0.216","8 out of 10","7 out of 9","8 out of 10"
"2021","010090",PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD",MOBILE,AL,"36608",Mobile,"0.687","0.000","0.632","0.570","2 out of 10","0 out of 9","2 out of 10","0.774","0.000","0.452","0.000","10 out of 10","9 out of 9","10 out of 10","8 out of 10","0.754","0.000","1.178","0.324","6 out of 10","7 out of 9","7 out of 10","0.726","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.763","0.000","0.568","0.402","5 out of 10","2 out of 9","5 out of 10","0.748","0.067","0.600","0.577","3 out of 10","0 out of 9","3 out of 10"
"2021","010092",D C H REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST",TUSCALOOSA,AL,"35401",Tuscaloosa,"0.687","0.000","0.960","0.647","1 out of 10","3 out of 9","3 out of 10","0.774","0.000","0.870","0.842","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0.754","0.000","1.210","0.593","2 out of 10","5 out of 9","5 out of 10","0.726","0.000","4.141","1.361","0 out of 10","6 out of 9","6 out of 10","0.763","0.000","0.810","1.757","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.883","0.724","1 out of 10","1 out of 9","1 out of 10"
"2021","010099",D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE",BREWTON,AL,"36426",Escambia,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.527","0.471","4 out of 10","1 out of 9","4 out of 10"
"2021","010100",THOMAS HOSPITAL,"750 MORPHY AVENUE",FAIRHOPE,AL,"36532",Baldwin,"0.687","0.000","0.990","0.515","3 out of 10","4 out of 9","4 out of 10","0.774","0.000","1.557","0.597","3 out of 10","6 out of 9","6 out of 10","5 out of 10","0.754","0.000","1.567","1.002","0 out of 10","3 out of 9","3 out of 10","0.726","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.763","0.000","0.000","1.271","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.209","0.368","6 out of 10","0 out of 9","6 out of 10"
"2021","010103",PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST",BIRMINGHAM,AL,"35211",Jefferson,"0.687","0.000","1.321","0.524","3 out of 10","6 out of 9","6 out of 10","0.774","0.000","0.718","0.335","6 out of 10","5 out of 9","6 out of 10","7 out of 10","0.754","0.000","0.601","0.201","7 out of 10","6 out of 9","7 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","3.219","1.507","0 out of 10","5 out of 9","5 out of 10","0.748","0.067","0.786","0.326","6 out of 10","6 out of 9","6 out of 10"
"2021","010104",GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY",BIRMINGHAM,AL,"35243",Jefferson,"0.687","0.000","0.242","0.321","5 out of 10","0 out of 9","5 out of 10","0.774","0.000","0.546","0.994","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0.754","0.000","0.000","0.293","6 out of 10","0 out of 9","6 out of 10","0.726","0.000","0.000","0.648","1 out of 10","0 out of 9","1 out of 10","0.763","0.000","0.685","0.513","3 out of 10","2 out of 9","3 out of 10","0.748","0.067","0.756","0.482","4 out of 10","3 out of 9","4 out of 10"
"2021","010108",PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR",PRATTVILLE,AL,"36067",Autauga,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.722","1.826","0 out of 10","0 out of 9","0 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","1.085","0.698","1 out of 10","3 out of 9","3 out of 10"
