"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Communication with Nurses Floor","Communication with Nurses Achievement Threshold","Communication with Nurses Benchmark","Communication with Nurses Baseline Rate","Communication with Nurses Performance Rate","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Floor","Communication with Doctors Achievement Threshold","Communication with Doctors Benchmark","Communication with Doctors Baseline Rate","Communication with Doctors Performance Rate","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Floor","Responsiveness of Hospital Staff Achievement Threshold","Responsiveness of Hospital Staff Benchmark","Responsiveness of Hospital Staff Baseline Rate","Responsiveness of Hospital Staff Performance Rate","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Care Transition Floor","Care Transition Achievement Threshold","Care Transition Benchmark","Care Transition Baseline Rate","Care Transition Performance Rate","Care Transition Achievement Points","Care Transition Improvement Points","Care Transition Dimension Score","Communication About Medicines Floor","Communication About Medicines Achievement Threshold","Communication About Medicines Benchmark","Communication About Medicines Baseline Rate","Communication About Medicines Performance Rate","Communication About Medicines Achievement Points","Communication About Medicines Improvement Points","Communication About Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Floor","Cleanliness and Quietness of Hospital Environment Achievement Threshold","Cleanliness and Quietness of Hospital Environment Benchmark","Cleanliness and Quietness of Hospital Environment Baseline Rate","Cleanliness and Quietness of Hospital Environment Performance Rate","Cleanliness and Quietness of Hospital Environment Achievement Points","Cleanliness and Quietness of Hospital Environment Improvement Points","Cleanliness and Quietness of Hospital Environment Dimension Score","Discharge Information Floor","Discharge Information Achievement Threshold","Discharge Information Benchmark","Discharge Information Baseline Rate","Discharge Information Performance Rate","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Floor","Overall Rating of Hospital Achievement Threshold","Overall Rating of Hospital Benchmark","Overall Rating of Hospital Baseline Rate","Overall Rating of Hospital Performance Rate","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
"2021","010024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",Montgomery,"42.06","79.06","87.36","78.34","77.8905","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","80.12","80.7617","1 out of 10","0 out of 9","1 out of 10","33.89","65.77","81.00","70.25","72.2396","4 out of 10","1 out of 9","4 out of 10","6.53","51.87","63.32","48.11","48.5231","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","65.59","65.2569","2 out of 10","0 out of 9","2 out of 10","30.60","65.61","79.58","67.28","68.8999","3 out of 10","1 out of 9","3 out of 10","66.94","87.38","92.17","85.83","84.7308","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","73.95","73.7561","2 out of 10","0 out of 9","2 out of 10","12","17"
"2021","010029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",Lee,"42.06","79.06","87.36","79.95","81.6326","3 out of 10","2 out of 9","3 out of 10","41.99","79.91","88.10","83.34","84.6498","6 out of 10","2 out of 9","6 out of 10","33.89","65.77","81.00","70.15","67.5902","2 out of 10","0 out of 9","2 out of 10","6.53","51.87","63.32","52.74","52.0700","1 out of 10","0 out of 9","1 out of 10","33.19","63.83","74.75","67.80","66.3715","3 out of 10","0 out of 9","3 out of 10","30.60","65.61","79.58","71.08","71.3357","4 out of 10","0 out of 9","4 out of 10","66.94","87.38","92.17","88.33","86.3187","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","74.28","73.8831","2 out of 10","0 out of 9","2 out of 10","21","18"
"2021","010033",UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET",BIRMINGHAM,AL,"35233",Jefferson,"42.06","79.06","87.36","82.39","80.8062","2 out of 10","0 out of 9","2 out of 10","41.99","79.91","88.10","84.06","83.0670","4 out of 10","0 out of 9","4 out of 10","33.89","65.77","81.00","65.54","64.9686","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","58.34","56.7209","4 out of 10","0 out of 9","4 out of 10","33.19","63.83","74.75","67.18","63.6778","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","69.27","65.6009","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","88.27","88.2870","2 out of 10","0 out of 9","2 out of 10","34.70","71.80","85.67","82.52","80.3474","6 out of 10","0 out of 9","6 out of 10","18","19"
"2021","010034",COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD",TALLASSEE,AL,"36078",Elmore,"42.06","79.06","87.36","79.95","81.6065","3 out of 10","2 out of 9","3 out of 10","41.99","79.91","88.10","77.45","83.0123","4 out of 10","5 out of 9","5 out of 10","33.89","65.77","81.00","74.71","74.0226","5 out of 10","0 out of 9","5 out of 10","6.53","51.87","63.32","37.75","54.3531","2 out of 10","6 out of 9","6 out of 10","33.19","63.83","74.75","75.94","72.2170","7 out of 10","0 out of 9","7 out of 10","30.60","65.61","79.58","74.78","69.0119","3 out of 10","0 out of 9","3 out of 10","66.94","87.38","92.17","85.40","83.8826","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","64.14","74.8677","2 out of 10","4 out of 9","4 out of 10","33","16"
"2021","010035",CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157",CULLMAN,AL,"35058",Cullman,"42.06","79.06","87.36","78.98","76.0739","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","82.31","79.7368","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","63.36","60.9134","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","48.18","45.8951","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","62.09","64.1642","1 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","72.02","72.8266","5 out of 10","1 out of 9","5 out of 10","66.94","87.38","92.17","82.94","81.5425","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","66.27","64.2182","0 out of 10","0 out of 9","0 out of 10","6","14"
"2021","010036",ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET",ANDALUSIA,AL,"36420",Covington,"42.06","79.06","87.36","76.35","76.2534","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","80.83","76.2708","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","66.29","62.6759","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","47.41","41.1548","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","63.64","59.6354","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","67.50","66.3750","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","89.59","84.2192","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","68.81","64.0195","0 out of 10","0 out of 9","0 out of 10","1","15"
"2021","010038",STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST",ANNISTON,AL,"36201",Calhoun,"42.06","79.06","87.36","72.90","78.6056","0 out of 10","3 out of 9","3 out of 10","41.99","79.91","88.10","79.91","82.2548","3 out of 10","2 out of 9","3 out of 10","33.89","65.77","81.00","59.87","61.8076","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","49.98","50.7092","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","66.70","65.4225","2 out of 10","0 out of 9","2 out of 10","30.60","65.61","79.58","71.34","72.5840","5 out of 10","1 out of 9","5 out of 10","66.94","87.38","92.17","83.53","85.9463","0 out of 10","2 out of 9","2 out of 10","34.70","71.80","85.67","71.21","67.0349","0 out of 10","0 out of 9","0 out of 10","15","17"
"2021","010039",HUNTSVILLE HOSPITAL,"101 SIVLEY RD",HUNTSVILLE,AL,"35801",Madison,"42.06","79.06","87.36","80.80","80.3662","2 out of 10","0 out of 9","2 out of 10","41.99","79.91","88.10","81.52","80.8972","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","64.37","65.9603","1 out of 10","0 out of 9","1 out of 10","6.53","51.87","63.32","52.73","53.2422","2 out of 10","0 out of 9","2 out of 10","33.19","63.83","74.75","64.41","63.0321","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","68.42","69.9355","3 out of 10","1 out of 9","3 out of 10","66.94","87.38","92.17","84.64","85.5999","0 out of 10","1 out of 9","1 out of 10","34.70","71.80","85.67","74.60","75.0394","3 out of 10","0 out of 9","3 out of 10","14","18"
"2021","010040",GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE",GADSDEN,AL,"35903",Etowah,"42.06","79.06","87.36","77.19","79.8621","1 out of 10","2 out of 9","2 out of 10","41.99","79.91","88.10","76.43","76.9150","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","62.25","59.1444","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","49.17","48.5500","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","65.17","60.4960","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","66.08","66.8562","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","87.05","85.8838","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","68.65","65.4767","0 out of 10","0 out of 9","0 out of 10","3","15"
"2021","010045",FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH",FAYETTE,AL,"35555",Fayette,"42.06","79.06","87.36","87.66","86.9744","9 out of 10","0 out of 9","9 out of 10","41.99","79.91","88.10","88.13","91.1141","10 out of 10","9 out of 9","10 out of 10","33.89","65.77","81.00","70.84","70.2521","3 out of 10","0 out of 9","3 out of 10","6.53","51.87","63.32","62.19","62.5399","9 out of 10","3 out of 9","9 out of 10","33.19","63.83","74.75","72.39","69.6140","5 out of 10","0 out of 9","5 out of 10","30.60","65.61","79.58","86.89","86.5528","10 out of 10","0 out of 9","10 out of 10","66.94","87.38","92.17","95.48","95.5318","10 out of 10","9 out of 9","10 out of 10","34.70","71.80","85.67","83.02","82.4526","7 out of 10","0 out of 9","7 out of 10","63","20"
"2021","010046",RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET",GADSDEN,AL,"35901",Etowah,"42.06","79.06","87.36","74.85","79.5401","1 out of 10","3 out of 9","3 out of 10","41.99","79.91","88.10","73.47","78.4280","0 out of 10","3 out of 9","3 out of 10","33.89","65.77","81.00","61.03","70.1615","3 out of 10","4 out of 9","4 out of 10","6.53","51.87","63.32","50.83","48.2840","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","58.66","61.4066","0 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","68.41","70.0672","3 out of 10","1 out of 9","3 out of 10","66.94","87.38","92.17","85.68","85.9874","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","71.39","66.0178","0 out of 10","0 out of 9","0 out of 10","14","16"
"2021","010049",MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET",ENTERPRISE,AL,"36330",Coffee,"42.06","79.06","87.36","78.39","80.9421","3 out of 10","2 out of 9","3 out of 10","41.99","79.91","88.10","83.06","83.3016","4 out of 10","0 out of 9","4 out of 10","33.89","65.77","81.00","64.75","65.6140","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","50.76","50.4478","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","68.45","63.2756","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","67.26","68.5454","2 out of 10","1 out of 9","2 out of 10","66.94","87.38","92.17","88.70","83.3371","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","68.01","66.2421","0 out of 10","0 out of 9","0 out of 10","9","16"
"2021","010052",LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD",DADEVILLE,AL,"36853",Tallapoosa,"42.06","79.06","87.36","82.78","84.7986","7 out of 10","4 out of 9","7 out of 10","41.99","79.91","88.10","87.43","86.7263","8 out of 10","0 out of 9","8 out of 10","33.89","65.77","81.00","78.40","85.0513","10 out of 10","9 out of 9","10 out of 10","6.53","51.87","63.32","52.81","51.9511","1 out of 10","0 out of 9","1 out of 10","33.19","63.83","74.75","57.60","70.4615","6 out of 10","7 out of 9","7 out of 10","30.60","65.61","79.58","77.13","75.2886","7 out of 10","0 out of 9","7 out of 10","66.94","87.38","92.17","89.50","88.1981","2 out of 10","0 out of 9","2 out of 10","34.70","71.80","85.67","73.33","70.7736","0 out of 10","0 out of 9","0 out of 10","42","19"
"2021","010055",FLOWERS HOSPITAL,"4370 WEST MAIN STREET",DOTHAN,AL,"36305",Houston,"42.06","79.06","87.36","78.27","80.2854","2 out of 10","2 out of 9","2 out of 10","41.99","79.91","88.10","80.36","79.5381","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","63.29","63.0898","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","55.78","51.9928","1 out of 10","0 out of 9","1 out of 10","33.19","63.83","74.75","67.85","67.3221","3 out of 10","0 out of 9","3 out of 10","30.60","65.61","79.58","67.23","66.3976","1 out of 10","0 out of 9","1 out of 10","66.94","87.38","92.17","89.14","86.0839","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","75.38","72.4868","1 out of 10","0 out of 9","1 out of 10","8","18"
"2021","010056",ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE",BIRMINGHAM,AL,"35205",Jefferson,"42.06","79.06","87.36","80.08","80.0467","2 out of 10","0 out of 9","2 out of 10","41.99","79.91","88.10","82.64","82.3109","3 out of 10","0 out of 9","3 out of 10","33.89","65.77","81.00","68.39","70.7729","3 out of 10","1 out of 9","3 out of 10","6.53","51.87","63.32","56.00","57.5029","5 out of 10","2 out of 9","5 out of 10","33.19","63.83","74.75","67.30","67.8097","4 out of 10","0 out of 9","4 out of 10","30.60","65.61","79.58","66.25","68.8065","3 out of 10","1 out of 9","3 out of 10","66.94","87.38","92.17","87.06","88.6881","3 out of 10","3 out of 9","3 out of 10","34.70","71.80","85.67","77.42","78.6311","5 out of 10","1 out of 9","5 out of 10","28","20"
"2021","010061",HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD",SCOTTSBORO,AL,"35768",Jackson,"42.06","79.06","87.36","79.45","76.6033","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","80.74","77.4487","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","66.71","71.1891","4 out of 10","3 out of 9","4 out of 10","6.53","51.87","63.32","45.79","45.0961","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","63.26","68.2174","4 out of 10","4 out of 9","4 out of 10","30.60","65.61","79.58","69.85","70.5354","4 out of 10","0 out of 9","4 out of 10","66.94","87.38","92.17","85.91","85.8116","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","64.69","70.7682","0 out of 10","2 out of 9","2 out of 10","14","17"
"2021","010062",WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE",GENEVA,AL,"36340",Geneva,"42.06","79.06","87.36","77.60","82.5259","4 out of 10","5 out of 9","5 out of 10","41.99","79.91","88.10","85.39","86.4757","8 out of 10","4 out of 9","8 out of 10","33.89","65.77","81.00","73.50","72.8672","5 out of 10","0 out of 9","5 out of 10","6.53","51.87","63.32","49.51","58.1936","5 out of 10","6 out of 9","6 out of 10","33.19","63.83","74.75","69.59","73.6707","9 out of 10","7 out of 9","9 out of 10","30.60","65.61","79.58","68.56","57.5782","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","85.07","92.4131","10 out of 10","9 out of 9","10 out of 10","34.70","71.80","85.67","68.97","70.8308","0 out of 10","1 out of 9","1 out of 10","44","15"
"2021","010065",RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280",ALEXANDER CITY,AL,"35010",Tallapoosa,"42.06","79.06","87.36","82.76","83.1434","5 out of 10","0 out of 9","5 out of 10","41.99","79.91","88.10","82.78","81.3328","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","73.29","77.0955","7 out of 10","4 out of 9","7 out of 10","6.53","51.87","63.32","52.85","50.8625","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","68.03","70.3707","6 out of 10","3 out of 9","6 out of 10","30.60","65.61","79.58","74.32","76.1821","7 out of 10","3 out of 9","7 out of 10","66.94","87.38","92.17","88.73","89.7592","5 out of 10","2 out of 9","5 out of 10","34.70","71.80","85.67","78.42","73.7379","2 out of 10","0 out of 9","2 out of 10","34","19"
